app,date,campaign,os,installs,spend,cpi
auto,2019-02-11,MSK_SPB,android,4,1354.210,338.552
auto,2019-02-11,MSK_SPB,ios,2,0.000,0.000
auto,2019-02-11,RU,android,187,14125.600,75.538
auto,2019-02-11,RU,ios,21,0.000,0.000
auto,2019-02-11,RU,macos,0,0.000,
auto,2019-02-11,RU,server,0,142.220,inf
auto,2019-02-11,RU,windows,0,25.800,inf
auto,2019-02-11,RU_comm,android,0,103.710,inf
auto,2019-02-11,RU_comm,ios,0,0.000,
auto,2019-02-11,SPB,android,4,663.900,165.975
auto,2019-02-11,SPB,ios,0,0.000,
auto,2019-02-11,SPB,windows,0,0.000,
auto,2019-02-12,MSK_SPB,android,6,4422.770,737.128
auto,2019-02-12,MSK_SPB,ios,1,0.000,0.000
auto,2019-02-12,RU,android,221,10006.190,45.277
auto,2019-02-12,RU,ios,13,0.000,0.000
auto,2019-02-12,RU,server,0,910.640,inf
auto,2019-02-12,RU,unknown,0,0.000,
auto,2019-02-12,RU,windows,0,0.000,
auto,2019-02-12,RU_comm,android,0,0.000,
auto,2019-02-12,RU_comm,ios,0,0.000,
auto,2019-02-12,SPB,android,4,3802.640,950.660
auto,2019-02-12,SPB,ios,0,0.000,
auto,2019-02-13,MSK_SPB,android,7,1166.920,166.703
auto,2019-02-13,MSK_SPB,ios,0,0.000,
auto,2019-02-13,MSK_SPB,server,0,0.000,
auto,2019-02-13,RU,android,583,11554.960,19.820
auto,2019-02-13,RU,ios,14,0.000,0.000
auto,2019-02-13,RU,linux,0,0.000,
auto,2019-02-13,RU,server,0,1919.340,inf
auto,2019-02-13,RU,windows,0,11.900,inf
auto,2019-02-13,RU_comm,android,0,190.920,inf
auto,2019-02-13,RU_comm,ios,0,0.000,
auto,2019-02-13,SPB,android,6,578.640,96.440
auto,2019-02-13,SPB,ios,0,0.000,
auto,2019-02-13,SPB,server,0,0.000,
auto,2019-02-14,MSK_SPB,android,4,2097.590,524.397
auto,2019-02-14,MSK_SPB,ios,5,0.000,0.000
auto,2019-02-14,MSK_SPB,server,0,60.570,inf
auto,2019-02-14,RU,android,242,1240.620,5.127
auto,2019-02-14,RU,ios,39,0.000,0.000
auto,2019-02-14,RU,server,0,264.430,inf
auto,2019-02-14,RU,windows,0,60.000,inf
auto,2019-02-14,RU_comm,android,0,0.000,
auto,2019-02-14,RU_comm,ios,0,0.000,
auto,2019-02-14,SPB,android,1,0.000,0.000
auto,2019-02-14,SPB,ios,1,0.000,0.000
auto,2019-02-14,SPB,server,0,0.000,
auto,2019-02-15,MSK_SPB,android,8,0.000,0.000
auto,2019-02-15,MSK_SPB,ios,6,0.000,0.000
auto,2019-02-15,MSK_SPB,server,0,0.000,
auto,2019-02-15,RU,android,522,0.000,0.000
auto,2019-02-15,RU,ios,50,0.000,0.000
auto,2019-02-15,RU,server,0,0.000,
auto,2019-02-15,RU,windows,0,0.000,
auto,2019-02-15,RU_comm,android,0,0.000,
auto,2019-02-15,RU_comm,ios,0,0.000,
auto,2019-02-15,SPB,android,6,0.000,0.000
auto,2019-02-15,SPB,ios,1,0.000,0.000
auto,2019-02-15,SPB,server,0,0.000,
auto,2019-02-16,MSK_SPB,android,12,0.000,0.000
auto,2019-02-16,MSK_SPB,ios,2,0.000,0.000
auto,2019-02-16,MSK_SPB,server,0,0.000,
auto,2019-02-16,RU,android,345,0.000,0.000
auto,2019-02-16,RU,ios,24,0.000,0.000
auto,2019-02-16,RU,server,0,0.000,
auto,2019-02-16,RU,windows,0,0.000,
auto,2019-02-16,RU_comm,android,0,0.000,
auto,2019-02-16,RU_comm,ios,0,0.000,
auto,2019-02-16,SPB,android,3,0.000,0.000
auto,2019-02-16,SPB,ios,2,0.000,0.000
auto,2019-02-16,SPB,server,0,0.000,
auto,2019-02-17,MSK_SPB,android,5,0.000,0.000
auto,2019-02-17,MSK_SPB,ios,2,0.000,0.000
auto,2019-02-17,MSK_SPB,server,0,0.000,
auto,2019-02-17,RU,android,333,0.000,0.000
auto,2019-02-17,RU,ios,67,0.000,0.000
auto,2019-02-17,RU,server,0,0.000,
auto,2019-02-17,RU,windows,0,0.000,
auto,2019-02-17,RU_comm,android,0,0.000,
auto,2019-02-17,RU_comm,ios,0,0.000,
auto,2019-02-17,SPB,android,8,0.000,0.000
auto,2019-02-17,SPB,ios,3,0.000,0.000
auto,2019-02-17,SPB,server,0,0.000,
auto,2019-02-18,MSK_SPB,android,17,0.000,0.000
auto,2019-02-18,MSK_SPB,ios,7,0.000,0.000
auto,2019-02-18,MSK_SPB,server,0,0.000,
auto,2019-02-18,RU,android,312,0.000,0.000
auto,2019-02-18,RU,ios,50,0.000,0.000
auto,2019-02-18,RU,server,0,0.000,
auto,2019-02-18,RU,windows,0,0.000,
auto,2019-02-18,RU_comm,android,0,0.000,
auto,2019-02-18,RU_comm,ios,0,0.000,
auto,2019-02-18,SPB,android,3,0.000,0.000
auto,2019-02-18,SPB,ios,1,0.000,0.000
auto,2019-02-18,SPB,server,0,0.000,
auto,2019-02-19,MSK_SPB,android,56,0.000,0.000
auto,2019-02-19,MSK_SPB,ios,0,0.000,
auto,2019-02-19,MSK_SPB,server,0,0.000,
auto,2019-02-19,RU,android,922,0.000,0.000
auto,2019-02-19,RU,ios,33,0.000,0.000
auto,2019-02-19,RU,server,0,0.000,
auto,2019-02-19,RU,windows,0,0.000,
auto,2019-02-19,RU_comm,android,0,0.000,
auto,2019-02-19,RU_comm,ios,0,0.000,
auto,2019-02-19,SPB,android,41,0.000,0.000
auto,2019-02-19,SPB,ios,0,0.000,
auto,2019-02-19,SPB,server,0,0.000,
auto,2019-02-20,MSK_SPB,android,26,0.000,0.000
auto,2019-02-20,MSK_SPB,ios,2,0.000,0.000
auto,2019-02-20,MSK_SPB,server,0,0.000,
auto,2019-02-20,RU,android,461,0.000,0.000
auto,2019-02-20,RU,ios,28,0.000,0.000
auto,2019-02-20,RU,linux,0,0.000,
auto,2019-02-20,RU,server,0,0.000,
auto,2019-02-20,RU,unknown,0,0.000,
auto,2019-02-20,RU,windows,0,0.000,
auto,2019-02-20,RU_comm,android,0,0.000,
auto,2019-02-20,RU_comm,ios,0,0.000,
auto,2019-02-20,SPB,android,5,0.000,0.000
auto,2019-02-20,SPB,ios,0,0.000,
auto,2019-02-20,SPB,server,0,0.000,
auto,2019-02-21,MSK_SPB,android,20,0.000,0.000
auto,2019-02-21,MSK_SPB,ios,1,0.000,0.000
auto,2019-02-21,MSK_SPB,server,0,0.000,
auto,2019-02-21,RU,android,378,0.000,0.000
auto,2019-02-21,RU,ios,75,0.000,0.000
auto,2019-02-21,RU,linux,0,0.000,
auto,2019-02-21,RU,macos,0,0.000,
auto,2019-02-21,RU,server,0,0.000,
auto,2019-02-21,RU,windows,0,0.000,
auto,2019-02-21,RU_comm,android,0,0.000,
auto,2019-02-21,RU_comm,ios,0,0.000,
auto,2019-02-21,SPB,android,15,0.000,0.000
auto,2019-02-21,SPB,ios,0,0.000,
auto,2019-02-21,SPB,server,0,0.000,
auto,2019-02-22,MSK_SPB,android,9,0.000,0.000
auto,2019-02-22,MSK_SPB,ios,0,0.000,
auto,2019-02-22,MSK_SPB,server,0,0.000,
auto,2019-02-22,RU,android,300,0.000,0.000
auto,2019-02-22,RU,ios,113,0.000,0.000
auto,2019-02-22,RU,server,0,0.000,
auto,2019-02-22,RU,windows,0,0.000,
auto,2019-02-22,RU_comm,android,0,0.000,
auto,2019-02-22,RU_comm,ios,0,0.000,
auto,2019-02-22,SPB,android,8,0.000,0.000
auto,2019-02-22,SPB,ios,0,0.000,
auto,2019-02-22,SPB,server,0,0.000,
auto,2019-02-23,MSK_SPB,android,9,0.000,0.000
auto,2019-02-23,MSK_SPB,ios,0,0.000,
auto,2019-02-23,RU,android,255,0.000,0.000
auto,2019-02-23,RU,ios,77,0.000,0.000
auto,2019-02-23,RU,server,0,0.000,
auto,2019-02-23,RU,windows,0,0.000,
auto,2019-02-23,RU_comm,android,0,0.000,
auto,2019-02-23,RU_comm,ios,0,0.000,
auto,2019-02-23,SPB,android,5,0.000,0.000
auto,2019-02-23,SPB,ios,0,0.000,
auto,2019-02-23,SPB,server,0,0.000,
auto,2019-02-24,MSK_SPB,android,27,0.000,0.000
auto,2019-02-24,MSK_SPB,ios,1,0.000,0.000
auto,2019-02-24,MSK_SPB,server,0,0.000,
auto,2019-02-24,MSK_SPB,windows,0,0.000,
auto,2019-02-24,RU,android,636,0.000,0.000
auto,2019-02-24,RU,ios,89,0.000,0.000
auto,2019-02-24,RU,linux,0,0.000,
auto,2019-02-24,RU,macos,0,0.000,
auto,2019-02-24,RU,server,0,0.000,
auto,2019-02-24,RU,windows,0,0.000,
auto,2019-02-24,RU_comm,android,0,0.000,
auto,2019-02-24,RU_comm,ios,0,0.000,
auto,2019-02-24,SPB,android,15,0.000,0.000
auto,2019-02-24,SPB,ios,0,0.000,
auto,2019-02-24,SPB,server,0,0.000,
auto,2019-02-25,MSK_SPB,android,22,0.000,0.000
auto,2019-02-25,MSK_SPB,ios,1,0.000,0.000
auto,2019-02-25,MSK_SPB,server,0,0.000,
auto,2019-02-25,RU,android,694,0.000,0.000
auto,2019-02-25,RU,ios,97,0.000,0.000
auto,2019-02-25,RU,server,0,0.000,
auto,2019-02-25,RU,windows,0,0.000,
auto,2019-02-25,RU_comm,android,0,0.000,
auto,2019-02-25,RU_comm,ios,0,0.000,
auto,2019-02-25,SPB,android,11,0.000,0.000
auto,2019-02-25,SPB,ios,0,0.000,
auto,2019-02-25,SPB,server,0,0.000,
auto,2019-02-26,MSK_SPB,android,16,0.000,0.000
auto,2019-02-26,MSK_SPB,ios,0,0.000,
auto,2019-02-26,MSK_SPB,server,0,0.000,
auto,2019-02-26,RU,android,433,0.000,0.000
auto,2019-02-26,RU,ios,80,0.000,0.000
auto,2019-02-26,RU,linux,0,0.000,
auto,2019-02-26,RU,server,0,0.000,
auto,2019-02-26,RU,unknown,0,0.000,
auto,2019-02-26,RU,windows,0,0.000,
auto,2019-02-26,RU_comm,android,0,0.000,
auto,2019-02-26,RU_comm,ios,0,0.000,
auto,2019-02-26,SPB,android,2,0.000,0.000
auto,2019-02-26,SPB,ios,0,0.000,
auto,2019-02-27,MSK_SPB,android,32,0.000,0.000
auto,2019-02-27,MSK_SPB,ios,0,0.000,
auto,2019-02-27,MSK_SPB,server,0,0.000,
auto,2019-02-27,RU,android,428,0.000,0.000
auto,2019-02-27,RU,ios,93,0.000,0.000
auto,2019-02-27,RU,linux,0,0.000,
auto,2019-02-27,RU,server,0,0.000,
auto,2019-02-27,RU,windows,0,0.000,
auto,2019-02-27,RU_comm,android,0,0.000,
auto,2019-02-27,RU_comm,ios,0,0.000,
auto,2019-02-27,SPB,android,11,0.000,0.000
auto,2019-02-27,SPB,ios,0,0.000,
auto,2019-02-27,SPB,server,0,0.000,
auto,2019-02-28,MSK_SPB,android,23,0.000,0.000
auto,2019-02-28,MSK_SPB,ios,0,0.000,
auto,2019-02-28,MSK_SPB,server,0,0.000,
auto,2019-02-28,RU,android,293,0.000,0.000
auto,2019-02-28,RU,ios,61,0.000,0.000
auto,2019-02-28,RU,linux,0,0.000,
auto,2019-02-28,RU,server,0,0.000,
